term,definition,context,id,last_review,next_review,interval,repetitions,ease_factor,status
correspondent,记者 / 通讯员,The war correspondent sent live reports from the battlefield.,,,,,,,
hang about,逗留 / 闲荡,They noticed a suspicious man hanging about the entrance.,,,,,,,
descend,下降 / 遗传 / 突然降临,We watched the sun descend below the horizon.,,,,,,,
feat,壮举 / 功绩,Completing the marathon was a remarkable feat of endurance.,,,,,,,
furnish … with …,向……提供……,The hotel will furnish you with all the necessary equipment.,,,,,,,
secrecy,保密 / 秘密状态,The mission was carried out in absolute secrecy.,,,,,,,
whatever,（用于否定句后）丝毫 / 根本,There is no doubt whatever about his guilt.,,,,,,,
censor,审查员 / 审查,The government decided to censor the sensitive news report.,,,,,,,
grin,咧嘴笑,He had a broad grin on his face after winning the game.,,,,,,,
infantry,步兵,The infantry advanced slowly across the open field.,,,,,,,
cavalry,骑兵,In the past the cavalry was the fastest unit in the army.,,,,,,,
make … (out) of …,理解 / 弄懂,I can't make anything out of this messy handwriting.,,,,,,,
foregone conclusion,预料中的必然结果,That they would win was a foregone conclusion.,,,,,,,
preconcerted,预先商定的,The meeting was a preconcerted attempt to change the policy.,,,,,,,
muffle,蒙住 / 抑制（声音）,She used a cushion to muffle the sound of the alarm.,,,,,,,
mooted,讨论过的 / 尚未定案的,The idea of a new tax was mooted in Parliament yesterday.,,,,,,,
parlous,危险的 / 极糟的,The company's finances are in a parlous state.,,,,,,,
incontrovertible,无可争议的,The video evidence provided incontrovertible proof of the crime.,,,,,,,
cipher,密码 / 暗号,The spy used a complex cipher to send the message.,,,,,,,
vernacular,方言 / 本地话,He wrote his poems in the local vernacular.,,,,,,,
acrostic,藏头诗,The first letters of each line in an acrostic form a word.,,,,,,,
pan out,（以特定方式）发展 / 结果是,We'll see how the new marketing strategy pans out.,,,,,,,
transpose,移置 / 调换顺序,Be careful not to transpose the digits in the phone number.,,,,,,,
hustle,匆忙做某事 / 催促,We had to hustle to get to the station on time.,,,,,,,
chop suey,杂烩 / 一团糟,The room was a real chop suey of old furniture and books.,,,,,,,
haul,拉 / 拖 / 运送,The truck had to haul a heavy load up the hill.,,,,,,,
servitude,奴役 / 劳役,Many people were sold into a life of servitude.,,,,,,,
patch,补丁 / 地块,He sowed seeds in a small patch of garden.,,,,,,,
watchman,看守人 / 巡夜者,The night watchman noticed the broken window.,,,,,,,
handy-man,杂工 / 手巧的人,The handy-man fixed the leaking tap in minutes.,,,,,,,
butt,（用头或角）撞,The goat tried to butt the fence.,,,,,,,
discomfit,使不安 / 使尴尬,The unexpected question seemed to discomfit the speaker.,,,,,,,
concerted,共同的 / 协同的,We need to make a concerted effort to solve this problem.,,,,,,,
huddle,挤在一起 / 蜷缩,The sheep huddled together to keep warm in the snow.,,,,,,,
Scotch,苏格兰的,She enjoyed a glass of Scotch whisky by the fire.,,,,,,,
confer,赋予 / 授予 / 商谈,The university will confer an honorary degree on the writer.,,,,,,,
peg,钉子 / 固定,He hung his jacket on a wooden peg.,,,,,,,
crooked,弯曲的 / 不诚实的,The picture on the wall is a bit crooked.,,,,,,,
abash,使羞愧 / 使窘迫,He was not abashed by his failure and tried again.,,,,,,,
providence,天意 / 远见,It seemed like a stroke of providence that we met.,,,,,,,
come off,成功 / 举行,Did the party come off as well as you hoped?,,,,,,,
scathe,损害 / 伤害,He emerged from the scandal relatively unscathed.,,,,,,,
hold to,坚持 / 遵循,We must hold to our principles despite the pressure.,,,,,,,
up a tree,进退两难,Without his car he's really up a tree.,,,,,,,
fall down,失败 / 倒下,The plan fell down because of a lack of funding.,,,,,,,
set forth,陈述 / 阐明,The president set forth his views in a major speech.,,,,,,,
dark horse,黑马,The young player proved to be a dark horse in the tournament.,,,,,,,
beggar description,无法形容,The beauty of the sunset beggars description.,,,,,,,
unawares,不知不觉地 / 意外地,The rain caught us unawares without umbrellas.,,,,,,,
pat,非常恰当的 / 现成的,His answer was a bit too pat to be entirely believable.,,,,,,,
contest,质疑 / 争论,The lawyer decided to contest the validity of the will.,,,,,,,
jolly,戏弄地开玩笑,They tried to jolly him along to get him to agree.,,,,,,,
kingpin,核心人物,He is the kingpin of the local electronics industry.,,,,,,,
cyclone,气旋 / 旋风,The cyclone caused widespread damage to the coast.,,,,,,,
zephyr,和风 / 西风,A light zephyr blew across the lake.,,,,,,,
urchin,流浪儿 / 顽童,A group of street urchins were playing in the alley.,,,,,,,
masses,群众 / 民众,The politician tried to appeal to the masses.,,,,,,,
derelict,破旧的 / 被遗弃的,The old factory has been derelict for years.,,,,,,,
ponderous,冗长的 / 笨重的,The book was written in a ponderous academic style.,,,,,,,
score,写下 / 记下,The composer scored the music for a full orchestra.,,,,,,,
complement,补充 / 补足语,The red wine is a perfect complement to the steak.,,,,,,,
whirl,旋转 / 混乱,My mind was in a whirl after the shocking news.,,,,,,,
illustration,插画 / 阐释,The book contains many beautiful illustrations.,,,,,,,
artillery,大炮 / 炮兵,The heavy artillery provided cover for the advancing troops.,,,,,,,
jargon,行话 / 术语,I couldn't understand the technical jargon in the manual.,,,,,,,
dearth,缺乏 / 饥荒,There is a dearth of reliable information on the subject.,,,,,,,
obituary,讣告,I read his obituary in the morning newspaper.,,,,,,,
do … part,（根据语境）尽到职责 / 分开,Everyone must do their part to protect the environment.,,,,,,,
contradiction,矛盾 / 反驳,There is a clear contradiction between his words and actions.,,,,,,,
journalistic,新闻业的,The article was written with great journalistic skill.,,,,,,,
pedestrian,行人 / 乏味的,The street was crowded with pedestrians.,,,,,,,
tackle,解决 / 应付 / 处理,The government needs to tackle the problem of inflation.,,,,,,,
refine,精炼 / 完善 / 改进,We need to refine our plan before presenting it.,,,,,,,
sophistication,精致 / 复杂性 / 老练,The system is admired for its high level of sophistication.,,,,,,,
at the end of the day,说到底 / 终究,At the end of the day it's your decision to make.,,,,,,,
agree upon,达成一致 / 约定,Both parties have agreed upon the terms of the contract.,,,,,,,
play into,迎合 / 落入……圈套,Your anger just plays into their hands.,,,,,,,
stereotype,刻板印象 / 陈规,We should avoid judging people based on stereotypes.,,,,,,,
misconception,误解 / 错误观念,There is a common misconception that all cats hate water.,,,,,,,
lingua franca,通用语,English has become the lingua franca of international aviation.,,,,,,,
just about,几乎 / 差不多,I've just about finished my homework.,,,,,,,
flirt with,涉猎 / 玩弄 / 调情,He flirted with the idea of moving to Japan.,,,,,,,
